datetime,open,high,low,close,volume
2022-10-05 20:45:00,1712.91000,1714.85000,1712.62000,1713.00000,1360
2022-10-05 21:00:00,1713.00000,1715.17000,1712.57000,1715.16000,1340
2022-10-05 21:15:00,1715.17000,1715.67000,1713.92000,1714.40000,1391
2022-10-05 21:30:00,1714.40000,1715.91000,1713.92000,1715.26000,1275
2022-10-05 21:45:00,1715.31000,1717.49000,1715.31000,1717.27000,1742
2022-10-05 22:00:00,1717.25000,1718.37000,1716.93000,1717.29000,1418
2022-10-05 22:15:00,1717.29000,1718.62000,1716.63000,1716.79000,1183
2022-10-05 22:30:00,1716.79000,1717.48000,1716.57000,1717.42000,1044
2022-10-05 22:45:00,1717.41000,1717.67000,1715.90000,1716.21000,1066
2022-10-05 23:00:00,1716.22000,1717.82000,1716.17000,1717.15000,781
2022-10-05 23:15:00,1717.14000,1717.48000,1716.18000,1716.35000,446
2022-10-05 23:30:00,1716.35000,1716.41000,1715.65000,1715.90000,353
2022-10-05 23:45:00,1715.90000,1716.81000,1715.90000,1716.25000,266
2022-10-06 01:00:00,1716.16000,1716.31000,1714.52000,1714.72000,333
2022-10-06 01:15:00,1714.83000,1716.50000,1714.80000,1716.27000,206
2022-10-06 01:30:00,1716.27000,1716.58000,1715.89000,1716.36000,162
2022-10-06 01:45:00,1716.36000,1716.57000,1715.96000,1716.22000,166
2022-10-06 02:00:00,1716.22000,1717.22000,1716.14000,1717.05000,255
2022-10-06 02:15:00,1717.05000,1718.48000,1717.05000,1718.27000,212
2022-10-06 02:30:00,1718.27000,1718.88000,1717.87000,1718.34000,294
2022-10-06 02:45:00,1718.34000,1718.54000,1717.57000,1718.43000,430
2022-10-06 03:00:00,1718.43000,1721.02000,1717.97000,1720.74000,1117
2022-10-06 03:15:00,1720.72000,1722.68000,1720.33000,1722.41000,1077
2022-10-06 03:30:00,1722.41000,1723.23000,1721.13000,1722.80000,1032
2022-10-06 03:45:00,1722.80000,1723.53000,1719.76000,1720.34000,1096
2022-10-06 04:00:00,1720.33000,1721.37000,1719.71000,1720.26000,894
2022-10-06 04:15:00,1720.26000,1721.13000,1719.34000,1719.52000,1020
2022-10-06 04:30:00,1719.51000,1720.76000,1719.42000,1719.65000,942
2022-10-06 04:45:00,1719.65000,1722.31000,1719.57000,1721.28000,951
2022-10-06 05:00:00,1721.26000,1722.91000,1720.91000,1721.62000,950
2022-10-06 05:15:00,1721.62000,1721.65000,1720.22000,1720.87000,875
2022-10-06 05:30:00,1720.88000,1721.70000,1720.12000,1721.66000,685
2022-10-06 05:45:00,1721.66000,1722.56000,1721.60000,1721.85000,816
2022-10-06 06:00:00,1721.84000,1724.29000,1721.54000,1724.13000,725
2022-10-06 06:15:00,1724.20000,1724.20000,1722.72000,1723.41000,665
2022-10-06 06:30:00,1723.39000,1723.40000,1721.69000,1721.71000,686
2022-10-06 06:45:00,1721.72000,1722.38000,1721.22000,1722.17000,603
2022-10-06 07:00:00,1722.27000,1722.41000,1721.78000,1722.11000,512
2022-10-06 07:15:00,1722.10000,1723.23000,1721.24000,1722.54000,786
2022-10-06 07:30:00,1722.54000,1723.48000,1721.94000,1723.48000,627
2022-10-06 07:45:00,1723.49000,1724.28000,1723.33000,1723.88000,524
2022-10-06 08:00:00,1723.88000,1723.97000,1721.47000,1722.09000,872
2022-10-06 08:15:00,1722.16000,1723.15000,1722.05000,1722.76000,615
2022-10-06 08:30:00,1722.76000,1725.05000,1722.63000,1723.53000,659
2022-10-06 08:45:00,1723.53000,1723.89000,1722.68000,1723.20000,729
2022-10-06 09:00:00,1723.27000,1724.16000,1721.77000,1723.44000,1189
2022-10-06 09:15:00,1723.41000,1723.47000,1721.61000,1721.89000,1178
2022-10-06 09:30:00,1721.89000,1724.04000,1721.80000,1723.46000,1313
2022-10-06 09:45:00,1723.44000,1724.52000,1721.07000,1721.07000,1323
2022-10-06 10:00:00,1721.08000,1723.56000,1719.68000,1723.45000,2457
2022-10-06 10:15:00,1723.45000,1724.03000,1722.14000,1723.75000,1865
